timestep	Fx	Fy
3.4	0.65426	-0.0278104
3.405	0.651208	-0.0334089
3.41	0.649448	-0.0374725
3.415	0.64822	-0.0388053
3.42	0.647175	-0.0390845
3.425	0.647439	-0.0374721
3.43	0.646285	-0.0292671
3.435	0.647505	-0.0353821
3.44	0.646808	-0.0385186
3.445	0.647077	-0.0399327
3.45	0.645871	-0.0379529
3.455	0.658471	-0.0415207
3.46	0.668102	-0.0418342
3.465	0.658886	-0.0420029
3.47	0.652398	-0.0418767
3.475	0.660294	-0.0427977
3.48	0.654796	-0.0424606
3.485	0.650016	-0.0424786
3.49	0.647241	-0.0424576
3.495	0.645936	-0.0425881
3.5	0.645142	-0.0429265
3.505	0.645313	-0.0430108
3.51	0.644776	-0.0434234
3.515	0.644189	-0.0434095
3.52	0.643549	-0.0441424
3.525	0.656914	-0.0440449
3.53	0.652398	-0.0438022
3.535	0.646172	-0.0320052
3.54	0.645943	-0.0418449
3.545	0.645184	-0.0368476
3.55	0.68592	-0.0433761
3.555	0.667633	-0.0445772
3.56	0.601693	-0.0397312
3.565	0.620163	-0.0427519
3.57	0.630171	-0.0429747
3.575	0.633804	-0.0326353
3.58	0.615542	-0.0407815
3.585	0.629664	-0.0435289
3.59	0.63458	-0.0432253
3.595	0.636905	-0.0438873
3.6	0.637621	-0.0446432
3.605	0.63807	-0.0449771
3.61	0.63847	-0.0450328
3.615	0.638482	-0.0456845
3.62	0.638459	-0.0451585
3.625	0.638347	-0.0459568
3.63	0.638208	-0.0458155
3.635	0.620944	-0.0472871
3.64	0.629857	-0.0461655
3.645	0.63378	-0.04727
3.65	0.613387	-0.0467387
3.655	0.607959	-0.0470849
3.66	0.62305	-0.0444764
3.665	0.629298	-0.0455927
3.67	0.632586	-0.0465212
3.675	0.634089	-0.0462566
3.68	0.635493	-0.0365834
3.685	0.634751	-0.0400292
3.69	0.635437	-0.045574
3.695	0.635023	-0.0464882
3.7	0.635462	-0.0478331
3.705	0.63561	-0.0478672
3.71	0.627524	-0.03736
3.715	0.632697	-0.0462035
3.72	0.632498	-0.0273767
3.725	0.634507	-0.0421394
3.73	0.634618	-0.0462794
3.735	0.634428	-0.0474964
3.74	0.633645	-0.0489401
3.745	0.633841	-0.0494711
3.75	0.633936	-0.050076
3.755	0.634054	-0.0499051
3.76	0.633902	-0.050391
3.765	0.633931	-0.0507657
3.77	0.612045	-0.0453867
3.775	0.623411	-0.0481384
3.78	0.628085	-0.0495767
3.785	0.629365	-0.0374861
3.79	0.63152	-0.048399
3.795	0.632225	-0.0493716
3.8	0.637357	-0.0512826
3.805	0.636554	-0.0504017
3.81	0.634624	-0.051017
3.815	0.633672	-0.0515949
3.82	0.632717	-0.0512413
3.825	0.632394	-0.0520283
3.83	0.632567	-0.0517777
3.835	0.632153	-0.0522134
3.84	0.631519	-0.0523916
3.845	0.642399	-0.0517773
3.85	0.635606	-0.0404571
3.855	0.633777	-0.0471599
3.86	0.632029	-0.0504614
3.865	0.630887	-0.0523745
3.87	0.643656	-0.0533423
3.875	0.639163	-0.0529928
3.88	0.634059	-0.0527246
3.885	0.631329	-0.0418611
3.89	0.631451	-0.0503949
3.895	0.63012	-0.0522032
3.9	0.63009	-0.0539891
3.905	0.629639	-0.0531306
3.91	0.613818	-0.0544402
3.915	0.622701	-0.0535216
3.92	0.625751	-0.0537914
3.925	0.626675	-0.0537546
3.93	0.625854	-0.0338922
3.935	0.62676	-0.0494213
3.94	0.62722	-0.0524522
3.945	0.60915	-0.0539434
3.95	0.631609	-0.0540997
3.955	0.64046	-0.0550494
3.96	0.614293	-0.0536634
3.965	0.62058	-0.0540359
3.97	0.623	-0.0539428
3.975	0.62438	-0.0537133
3.98	0.624588	-0.0540789
3.985	0.624865	-0.0494992
3.99	0.638232	-0.0531537
3.995	0.632135	-0.0533617
4	0.627513	-0.0540081
4.005	0.626614	-0.0544545
4.01	0.625758	-0.0497899
4.015	0.624932	-0.0532145
4.02	0.624806	-0.0532199
4.025	0.62515	-0.0540786
4.03	0.624429	-0.0531383
4.035	0.624918	-0.0468712
4.04	0.624601	-0.0532729
4.045	0.624184	-0.0539385
4.05	0.623749	-0.041477
4.055	0.624437	-0.0511364
4.06	0.624085	-0.0531884
4.065	0.623433	-0.0538542
4.07	0.623429	-0.0551242
4.075	0.623942	-0.0553181
4.08	0.623351	-0.0553467
4.085	0.62403	-0.0554116
4.09	0.622993	-0.0559599
4.095	0.622857	-0.0558643
4.1	0.622675	-0.0553132
4.105	0.623282	-0.0556438
4.11	0.623075	-0.0557454
4.115	0.622867	-0.0553544
4.12	0.622348	-0.0562866
4.125	0.622078	-0.0556384
4.13	0.622525	-0.0563293
4.135	0.622042	-0.054878
4.14	0.622141	-0.0560785
4.145	0.614885	-0.0556352
4.15	0.617895	-0.0564248
4.155	0.633178	-0.0562907
4.16	0.628974	-0.0564831
4.165	0.625709	-0.0550103
4.17	0.622998	-0.0554579
4.175	0.621989	-0.0559261
4.18	0.621564	-0.0459681
4.185	0.621583	-0.0538569
4.19	0.621531	-0.0538174
4.195	0.621258	-0.0553468
4.2	0.620912	-0.0480731
4.205	0.620483	-0.0535505
4.21	0.620419	-0.0547552
4.215	0.620338	-0.0552389
4.22	0.620189	-0.0558198
4.225	0.619742	-0.0551845
4.23	0.620144	-0.0561417
4.235	0.619943	-0.0556926
4.24	0.634252	-0.0564613
4.245	0.627638	-0.0560206
4.25	0.623393	-0.0550727
4.255	0.620985	-0.0557172
4.26	0.620422	-0.0555103
4.265	0.61971	-0.0554016
4.27	0.619293	-0.0559873
4.275	0.619016	-0.055033
4.28	0.618407	-0.0553074
4.285	0.618771	-0.0554399
4.29	0.599308	-0.0557754
4.295	0.608919	-0.055404
4.3	0.613381	-0.0558471
4.305	0.615639	-0.0538691
4.31	0.617088	-0.0550238
4.315	0.616801	-0.055078
4.32	0.617373	-0.0553093
4.325	0.616826	-0.054516
4.33	0.617282	-0.0546235
4.335	0.61709	-0.0551018
4.34	0.616931	-0.0441077
4.345	0.616721	-0.0527197
4.35	0.616583	-0.0538614
4.355	0.616387	-0.0543177
4.36	0.615836	-0.0541289
4.365	0.61629	-0.054647
4.37	0.615672	-0.0546032
4.375	0.615963	-0.0474022
4.38	0.615767	-0.0508639
4.385	0.615041	-0.0527283
4.39	0.615015	-0.0535358
4.395	0.615327	-0.0526971
4.4	0.614893	-0.0535962
4.405	0.614776	-0.0536889
4.41	0.614672	-0.0539618
4.415	0.614034	-0.05387
4.42	0.598411	-0.0538933
4.425	0.606321	-0.0535967
4.43	0.610201	-0.0538842
4.435	0.611998	-0.0530035
4.44	0.620504	-0.052764
4.445	0.617311	-0.0534256
4.45	0.615315	-0.0527668
4.455	0.614316	-0.0532641
4.46	0.613733	-0.0524213
4.465	0.613369	-0.0529016
4.47	0.613122	-0.0522668
4.475	0.612869	-0.0520056
4.48	0.612292	-0.052019
4.485	0.612311	-0.0523476
4.49	0.612308	-0.0520417
4.495	0.612232	-0.0518838
4.5	0.612177	-0.0515038
4.505	0.612082	-0.0517605
4.51	0.611933	-0.0516267
4.515	0.611836	-0.0513877
4.52	0.611735	-0.0513083
4.525	0.611488	-0.0511574
4.53	0.611408	-0.0509884
4.535	0.610912	-0.0505739
