timestep	Fx	Fy
4.08	0.622899	-0.0550941
4.085	0.622918	-0.055407
4.09	0.623625	-0.0553813
4.095	0.623168	-0.0552985
4.1	0.621714	-0.0554954
4.105	0.622532	-0.0552227
4.11	0.622496	-0.0560245
4.115	0.622361	-0.0553809
4.12	0.622529	-0.0559776
4.125	0.622715	-0.0554852
4.13	0.622069	-0.0554094
4.135	0.621895	-0.0556938
4.14	0.622087	-0.0555861
4.145	0.622071	-0.0563271
4.15	0.6224	-0.0561134
4.155	0.61431	-0.05604
4.16	0.617061	-0.0562486
4.165	0.633368	-0.0564816
4.17	0.628733	-0.0562113
4.175	0.624504	-0.0549588
4.18	0.622812	-0.0557862
4.185	0.622024	-0.0557306
4.19	0.621362	-0.0448127
4.195	0.620879	-0.0536715
4.2	0.621141	-0.0548288
4.205	0.620856	-0.0553579
4.21	0.620524	-0.0481811
4.215	0.619745	-0.0531281
4.22	0.620218	-0.0550411
4.225	0.619686	-0.0555597
4.23	0.620042	-0.0554834
4.235	0.619843	-0.0555888
4.24	0.61969	-0.055828
4.245	0.619521	-0.0556203
4.25	0.633855	-0.0563656
4.255	0.627233	-0.0560665
4.26	0.623035	-0.0551906
4.265	0.620989	-0.0555999
4.27	0.619515	-0.0555752
4.275	0.619435	-0.0551972
4.28	0.618969	-0.0559569
4.285	0.618683	-0.0550642
4.29	0.618436	-0.0548315
4.295	0.618232	-0.0552525
4.3	0.598901	-0.0562047
4.305	0.608509	-0.0551554
4.31	0.612978	-0.055662
4.315	0.615674	-0.0542928
4.32	0.616536	-0.055178
4.325	0.616733	-0.054805
4.33	0.616388	-0.0551943
4.335	0.616506	-0.0550643
4.34	0.616973	-0.0545034
4.345	0.616739	-0.0548109
4.35	0.616581	-0.0442867
4.355	0.616381	-0.0527612
4.36	0.616211	-0.0538408
4.365	0.616058	-0.0540548
4.37	0.615877	-0.0548129
4.375	0.61573	-0.0543832
4.38	0.615973	-0.045339
4.385	0.615237	-0.0518499
4.39	0.615047	-0.0534954
4.395	0.614906	-0.053862
4.4	0.614386	-0.0540916
4.405	0.614812	-0.0531505
4.41	0.614479	-0.0535856
4.415	0.6144	-0.0538062
4.42	0.614315	-0.05403
4.425	0.61365	-0.0536454
4.43	0.59808	-0.0540544
4.435	0.606049	-0.0536788
4.44	0.609348	-0.0537064
4.445	0.61146	-0.0535188
4.45	0.612843	-0.0526844
4.455	0.620738	-0.0528931
4.46	0.616751	-0.0532888
4.465	0.615265	-0.053
4.47	0.61405	-0.0521176
4.475	0.613359	-0.052589
4.48	0.612934	-0.0524403
4.485	0.612691	-0.052269
4.49	0.612472	-0.0525033
4.495	0.61174	-0.0519289
